DATASET,SIZE,DIM,SOURCE,TARGET,SPLIT,MEASURE,METHOD,mean,iqr,cilo,cihi,whishi,whislo,q1,med,q3
youtube,16-20,32,node2vec,TransE,test,MRR,transformed,0.43971899999999997,0.22015174999999998,0.3491417058030624,0.43297129419693764,0.817424,0.128626,0.30132675,0.39105650000000003,0.5214785
youtube,16-20,32,node2vec,TransE,test,MRR,target,0.3766531911764706,0.24093025,0.30375667751248064,0.3954983224875193,0.833333,0.098799,0.26590899999999995,0.3496275,0.50683925
youtube,16-20,32,node2vec,TransE,test,MR,source,7.916803264705883,2.8623512500000006,7.350869112648561,8.44079788735144,12.25,3.0,6.47916675,7.8958335,9.341518
youtube,16-20,32,node2vec,TransE,test,MR,source2target,5.587029955882352,2.7125000000000004,5.177315861914823,6.210184138085176,9.875,1.0,4.2875,5.69375,7.0
youtube,16-20,32,node2vec,TransE,test,MR,transformed,5.180153676470589,3.14062475,4.402054991404526,5.597945008595474,10.125,1.0,3.60937525,5.0,6.75
youtube,16-20,32,node2vec,TransE,test,MR,target,5.579417573529412,2.545833,5.077797669653899,6.047202330346101,10.0,1.333333,4.166667,5.5625,6.7125
youtube,16-20,32,node2vec,TransE,test,Hit@10,source,0.7066306470588236,0.233333,0.6555756214776669,0.744424378522333,1.0,0.375,0.6,0.7,0.833333
youtube,16-20,32,node2vec,TransE,test,Hit@10,source2target,0.8491503970588237,0.22916650000000005,0.8313688833528122,0.9186311166471878,1.0,0.5,0.7708335,0.875,1.0
youtube,16-20,32,node2vec,TransE,test,Hit@10,transformed,0.861913,0.2124999999999999,0.8345420260486267,0.9154579739513733,1.0,0.5,0.7875000000000001,0.875,1.0
youtube,16-20,32,node2vec,TransE,test,Hit@10,target,0.8508660735294118,0.22916650000000005,0.8313688833528122,0.9186311166471878,1.0,0.5,0.7708335,0.875,1.0
youtube,16-20,32,node2vec,TransE,test,Hit@3,source,0.24106719117647057,0.23333299999999998,0.1738296214776669,0.2626783785223331,0.666667,0.0,0.1,0.218254,0.333333
youtube,16-20,32,node2vec,TransE,test,Hit@3,source2target,0.4061741764705883,0.26388900000000004,0.3497580504091579,0.4502419495908421,0.875,0.0,0.25,0.4,0.513889
youtube,16-20,32,node2vec,TransE,test,Hit@3,transformed,0.5036966029411765,0.29613125,0.44361943341794063,0.5563805665820594,1.0,0.0,0.37053575,0.5,0.666667
